Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn,Upsell_Probability,Upsell_Prediction,Confidence_Level,Recommended_Product,Expected_Monthly_Revenue,Priority,Customer_Segment
417-3676,155,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,False,0.359825803660888,1,Low,Standard Upgrade Package,25.59,LOW,Regular Prospects (Standard Campaign)
417-6774,114,30,206.2,79,35.05,260.0,91,22.1,291.6,83,13.12,11.4,6,3.08,1,False,0.3602238125030109,1,Low,Standard Upgrade Package,26.87,LOW,Regular Prospects (Standard Campaign)
411-9554,114,28,225.8,94,38.39,193.0,117,16.41,232.4,100,10.46,8.4,9,2.27,4,False,0.6076279916187057,1,High,Premium Support + Service Upgrade,49.99,HIGH,Problem Solvers (Fix Issues First)
420-3192,119,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,False,0.6057340357300993,1,High,Premium Support + Service Upgrade,39.36,HIGH,Problem Solvers (Fix Issues First)
389-1475,64,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,False,0.35327817657962857,1,Low,Standard Upgrade Package,12.6,LOW,Regular Prospects (Standard Campaign)
343-7734,118,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,False,0.3567278837769301,1,Low,Standard Upgrade Package,19.15,LOW,Regular Prospects (Standard Campaign)
410-3390,101,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
344-6495,117,0,134.7,121,22.9,180.0,83,15.3,200.9,104,9.04,7.7,3,2.08,1,False,0.35611192970699546,1,Low,Standard Upgrade Package,17.74,LOW,Regular Prospects (Standard Campaign)
331-6229,49,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8.0,13,2.16,3,False,0.6072170458274087,1,High,Premium Support + Service Upgrade,50.18,HIGH,Problem Solvers (Fix Issues First)
337-7501,139,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13.0,3,3.51,3,False,0.6074997712353803,1,High,Premium Support + Service Upgrade,48.35,HIGH,Problem Solvers (Fix Issues First)
339-9631,92,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10.0,3,2.7,1,False,0.3570077140002975,1,Low,Standard Upgrade Package,20.12,LOW,Regular Prospects (Standard Campaign)
369-4384,83,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,False,0.607055938216306,1,High,Premium Support + Service Upgrade,48.39,HIGH,Problem Solvers (Fix Issues First)
416-3915,148,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
339-3049,144,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True,0.7547483294137333,1,High,Emergency Retention Package,62.04,HIGH,At-Risk VIPs (Save Immediately)
361-7998,131,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,False,0.35914304767338145,1,Low,Standard Upgrade Package,24.19,LOW,Regular Prospects (Standard Campaign)
355-4842,146,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,False,0.607680648715921,1,High,Premium Support + Service Upgrade,49.04,HIGH,Problem Solvers (Fix Issues First)
387-6440,143,0,172.3,97,29.29,174.0,108,14.79,188.2,119,8.47,13.0,4,3.51,2,False,0.35743315196156056,1,Low,Standard Upgrade Package,20.29,LOW,Regular Prospects (Standard Campaign)
369-2625,81,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,False,0.3581188045970249,1,Low,Standard Upgrade Package,22.93,LOW,Regular Prospects (Standard Campaign)
389-7073,48,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,False,0.3571170495988387,1,Low,Standard Upgrade Package,21.45,LOW,Regular Prospects (Standard Campaign)
370-8463,86,28,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9.0,2,2.43,1,False,0.36029915144214514,1,Low,Standard Upgrade Package,27.64,LOW,Regular Prospects (Standard Campaign)
362-7318,71,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,False,0.6068052466359825,1,High,Premium Support + Service Upgrade,46.9,HIGH,Problem Solvers (Fix Issues First)
412-1194,145,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,False,0.35743017689184725,1,Low,Standard Upgrade Package,20.1,LOW,Regular Prospects (Standard Campaign)
355-9508,137,0,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2,False,0.35753322293141643,1,Low,Standard Upgrade Package,20.67,LOW,Regular Prospects (Standard Campaign)
352-8202,137,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,False,0.35978429022090463,1,Low,Standard Upgrade Package,25.51,LOW,Regular Prospects (Standard Campaign)
335-5882,167,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
352-6976,89,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True,0.7584600704465054,1,High,Emergency Retention Package,103.76,HIGH,At-Risk VIPs (Save Immediately)
393-6733,199,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
335-1838,132,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
355-6930,94,0,177.1,112,30.11,194.0,112,16.49,146.7,108,6.6,5.9,4,1.59,1,False,0.35678196211316265,1,Low,Standard Upgrade Package,19.77,LOW,Regular Prospects (Standard Campaign)
387-5860,96,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True,0.754241640250558,1,High,Emergency Retention Package,59.53,HIGH,At-Risk VIPs (Save Immediately)
343-2605,96,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,False,0.3569073901996115,1,Low,Standard Upgrade Package,19.87,LOW,Regular Prospects (Standard Campaign)
350-6759,166,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,False,0.35870711308953784,1,Low,Standard Upgrade Package,22.68,LOW,Regular Prospects (Standard Campaign)
371-1514,74,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,False,0.3549727544787663,1,Low,Standard Upgrade Package,16.02,LOW,Regular Prospects (Standard Campaign)
346-9317,36,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,False,0.7,1,Low,Starter Premium Features,31.99,MEDIUM,New Prospects (Gentle Approach)
398-4313,113,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,False,0.6074493646284131,1,High,Premium Support + Service Upgrade,49.07,HIGH,Problem Solvers (Fix Issues First)
412-4399,94,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,False,0.358221661049906,1,Low,Standard Upgrade Package,22.72,LOW,Regular Prospects (Standard Campaign)
330-1835,67,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,False,0.35583723963033975,1,Low,Standard Upgrade Package,18.17,LOW,Regular Prospects (Standard Campaign)
416-1676,127,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,True,0.7574359814608598,1,High,Emergency Retention Package,91.12,HIGH,At-Risk VIPs (Save Immediately)
329-7347,121,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,True,0.7570999351903772,1,High,Emergency Retention Package,86.86,HIGH,At-Risk VIPs (Save Immediately)
360-6868,158,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,False,0.35918911609669807,1,Low,Standard Upgrade Package,23.72,LOW,Regular Prospects (Standard Campaign)
405-6641,136,0,92.0,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,False,0.35638341698350723,1,Low,Standard Upgrade Package,17.87,LOW,Regular Prospects (Standard Campaign)
393-2373,196,0,234.0,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,False,0.3604481816192482,1,Low,Standard Upgrade Package,26.13,LOW,Regular Prospects (Standard Campaign)
419-1714,113,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,True,0.7576115241776041,1,High,Emergency Retention Package,93.8,HIGH,At-Risk VIPs (Save Immediately)
336-3819,122,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,True,0.7572242902460576,1,High,Emergency Retention Package,89.92,HIGH,At-Risk VIPs (Save Immediately)
341-3464,112,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
413-5310,209,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,False,0.6088131478767158,1,High,Premium Support + Service Upgrade,52.96,HIGH,Problem Solvers (Fix Issues First)
366-7912,62,0,248.7,109,42.28,220.0,118,18.7,265.7,78,11.96,13.2,2,3.56,1,True,0.7568329889334601,1,High,Emergency Retention Package,88.33,HIGH,At-Risk VIPs (Save Immediately)
399-8845,110,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,False,0.3590998173199709,1,Low,Standard Upgrade Package,24.68,LOW,Regular Prospects (Standard Campaign)
368-2583,16,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,False,0.7,1,Low,Starter Premium Features,35.26,MEDIUM,New Prospects (Gentle Approach)
360-6309,73,0,94.1,136,16.0,280.3,122,23.83,205.0,77,9.23,9.8,4,2.65,0,False,0.35620468959531176,1,Low,Standard Upgrade Package,18.61,LOW,Regular Prospects (Standard Campaign)
359-5890,128,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
332-2462,39,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,False,0.3547718406384038,1,Low,Standard Upgrade Package,16.17,LOW,Regular Prospects (Standard Campaign)
381-9196,103,28,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,False,0.3566005886243643,1,Low,Standard Upgrade Package,19.05,LOW,Regular Prospects (Standard Campaign)
329-3222,119,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,False,0.6052770631809956,1,High,Premium Support + Service Upgrade,37.1,HIGH,Problem Solvers (Fix Issues First)
363-5819,173,21,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,5.0,5,1.35,3,False,0.6085970616080811,1,High,Premium Support + Service Upgrade,52.86,HIGH,Problem Solvers (Fix Issues First)
413-9269,128,32,223.5,81,38.0,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,True,0.7556878102918246,1,High,Emergency Retention Package,73.07,HIGH,At-Risk VIPs (Save Immediately)
330-7483,86,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
403-7775,114,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,False,0.356280217886927,1,Low,Standard Upgrade Package,18.12,LOW,Regular Prospects (Standard Campaign)
360-2479,104,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
394-3791,148,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,False,0.3565825836637651,1,Low,Standard Upgrade Package,18.02,LOW,Regular Prospects (Standard Campaign)
384-2632,129,0,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,False,0.6070940383093337,1,High,Premium Support + Service Upgrade,46.55,HIGH,Problem Solvers (Fix Issues First)
359-8466,100,30,58.8,104,10.0,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
331-8909,121,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,False,0.3548460614568535,1,Low,Standard Upgrade Package,14.82,LOW,Regular Prospects (Standard Campaign)
359-5160,143,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,False,0.35981003457931676,1,Low,Standard Upgrade Package,25.7,LOW,Regular Prospects (Standard Campaign)
330-9833,76,0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,False,0.3582151728578233,1,Low,Standard Upgrade Package,23.25,LOW,Regular Prospects (Standard Campaign)
362-2314,158,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
338-8478,116,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,False,0.607586556684785,1,High,Premium Support + Service Upgrade,49.78,HIGH,Problem Solvers (Fix Issues First)
387-5453,54,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,True,0.757026260450683,1,High,Emergency Retention Package,91.2,HIGH,At-Risk VIPs (Save Immediately)
380-3437,86,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,True,0.7537246473203412,1,High,Emergency Retention Package,54.86,HIGH,At-Risk VIPs (Save Immediately)
365-8779,108,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
407-2750,66,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,False,0.35742175688387695,1,Low,Standard Upgrade Package,21.61,LOW,Regular Prospects (Standard Campaign)
396-8265,151,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,False,0.35781740877970086,1,Low,Standard Upgrade Package,21.1,LOW,Regular Prospects (Standard Campaign)
397-4304,99,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
333-2611,55,0,194.1,121,33.0,176.6,110,15.01,302.8,136,13.63,7.0,7,1.89,2,False,0.3580459862998674,1,Low,Standard Upgrade Package,23.05,LOW,Regular Prospects (Standard Campaign)
409-8814,77,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,False,0.3599481721519306,1,Low,Standard Upgrade Package,27.09,LOW,Regular Prospects (Standard Campaign)
336-5406,78,0,225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94,0,False,0.3587075409775418,1,Low,Standard Upgrade Package,24.4,LOW,Regular Prospects (Standard Campaign)
343-6940,89,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,True,0.7557476646948977,1,High,Emergency Retention Package,75.32,HIGH,At-Risk VIPs (Save Immediately)
361-9923,101,0,183.9,115,31.26,255.9,101,21.75,275.0,145,12.38,10.8,11,2.92,1,False,0.3592560403038876,1,Low,Standard Upgrade Package,24.92,LOW,Regular Prospects (Standard Campaign)
350-6639,44,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14.0,7,3.78,0,False,0.7,1,Low,Starter Premium Features,37.17,MEDIUM,New Prospects (Gentle Approach)
376-4300,98,21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0.0,0,0.0,2,False,0.3539441190823804,1,Low,Standard Upgrade Package,13.17,LOW,Regular Prospects (Standard Campaign)
349-6567,64,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,False,0.3547417226782226,1,Low,Standard Upgrade Package,15.89,LOW,Regular Prospects (Standard Campaign)
333-7749,141,0,260.2,131,44.23,179.2,120,15.23,135.0,119,6.08,7.2,8,1.94,3,False,0.6077247451274905,1,High,Premium Support + Service Upgrade,49.97,HIGH,Problem Solvers (Fix Issues First)
408-6089,81,33,161.6,117,27.47,123.0,90,10.46,261.3,101,11.76,12.2,5,3.29,1,False,0.3564315293037848,1,Low,Standard Upgrade Package,19.09,LOW,Regular Prospects (Standard Campaign)
375-2165,162,0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1,False,0.3585587833086746,1,Low,Standard Upgrade Package,22.52,LOW,Regular Prospects (Standard Campaign)
400-6999,83,41,155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,3,False,0.6048128961716746,1,High,Premium Support + Service Upgrade,36.33,HIGH,Problem Solvers (Fix Issues First)
420-7823,100,0,107.0,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4,True,0.7531107273096367,1,High,Emergency Retention Package,47.33,HIGH,At-Risk VIPs (Save Immediately)
366-5241,59,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,False,0.6064501130010801,1,High,Premium Support + Service Upgrade,45.58,HIGH,Problem Solvers (Fix Issues First)
413-3412,179,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,False,0.6085623672266091,1,High,Premium Support + Service Upgrade,52.55,HIGH,Problem Solvers (Fix Issues First)
406-2752,79,0,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1,False,0.35524776810351916,1,Low,Standard Upgrade Package,16.74,LOW,Regular Prospects (Standard Campaign)
337-8078,117,0,181.5,95,30.86,205.1,88,17.43,204.0,82,9.18,14.7,9,3.97,2,False,0.35814151880755113,1,Low,Standard Upgrade Package,22.3,LOW,Regular Prospects (Standard Campaign)
402-1942,64,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,True,0.7561886218970133,1,High,Emergency Retention Package,81.8,HIGH,At-Risk VIPs (Save Immediately)
371-7917,31,0,166.1,105,28.24,79.3,93,6.74,213.7,98,9.62,12.7,2,3.43,1,False,0.3551043678572694,1,Low,Standard Upgrade Package,17.2,LOW,Regular Prospects (Standard Campaign)
343-6374,124,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,11.3,4,3.05,1,False,0.35960969350684935,1,Low,Standard Upgrade Package,25.56,LOW,Regular Prospects (Standard Campaign)
385-8730,122,23,134.2,85,22.81,227.3,132,19.32,122.4,96,5.51,8.5,2,2.3,2,False,0.356210601815666,1,Low,Standard Upgrade Package,17.97,LOW,Regular Prospects (Standard Campaign)
393-7892,37,39,149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,1,False,0.3556441205017833,1,Low,Standard Upgrade Package,18.31,LOW,Regular Prospects (Standard Campaign)
407-6748,90,29,150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,1,False,0.3572982198442043,1,Low,Standard Upgrade Package,20.84,LOW,Regular Prospects (Standard Campaign)
341-4463,159,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1,True,0.7578576630662115,1,High,Emergency Retention Package,93.74,HIGH,At-Risk VIPs (Save Immediately)
351-2587,148,0,124.4,83,21.15,179.7,81,15.27,253.0,99,11.39,11.3,6,3.05,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
421-9752,39,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12.0,5,3.24,1,False,0.3567887104980474,1,Low,Standard Upgrade Package,20.59,LOW,Regular Prospects (Standard Campaign)
356-4001,77,0,230.0,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,False,0.35840651259303064,1,Low,Standard Upgrade Package,23.57,LOW,Regular Prospects (Standard Campaign)
328-9869,194,0,162.3,88,27.59,213.7,118,18.16,192.1,81,8.64,10.9,2,2.94,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
343-5709,154,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,True,0.7590882458539623,1,High,Emergency Retention Package,107.37,HIGH,At-Risk VIPs (Save Immediately)
334-1872,112,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,False,0.6070170642714234,1,High,Premium Support + Service Upgrade,46.95,HIGH,Problem Solvers (Fix Issues First)
350-1040,45,0,78.2,127,13.29,253.4,108,21.54,255.0,100,11.48,18.0,3,4.86,1,False,0.35590145647935106,1,Low,Standard Upgrade Package,18.39,LOW,Regular Prospects (Standard Campaign)
369-3214,132,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,False,0.3550989631171032,1,Low,Standard Upgrade Package,15.25,LOW,Regular Prospects (Standard Campaign)
385-6778,128,0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16.0,2,4.32,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
383-7689,135,0,201.8,81,34.31,225.0,114,19.13,204.4,82,9.2,10.3,6,2.78,1,False,0.35897410854209605,1,Low,Standard Upgrade Package,23.84,LOW,Regular Prospects (Standard Campaign)
385-5722,56,0,197.0,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,2,False,0.35832141156359454,1,Low,Standard Upgrade Package,23.77,LOW,Regular Prospects (Standard Campaign)
357-1909,151,0,218.0,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,True,0.7557132475606367,1,High,Emergency Retention Package,71.56,HIGH,At-Risk VIPs (Save Immediately)
364-3567,32,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4.0,2,False,0.35700606060252077,1,Low,Standard Upgrade Package,21.34,LOW,Regular Prospects (Standard Campaign)
422-4241,90,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2,False,0.358303481753136,1,Low,Standard Upgrade Package,23.0,LOW,Regular Prospects (Standard Campaign)
370-2957,87,21,214.0,113,36.38,180.0,114,15.3,134.5,82,6.05,10.6,5,2.86,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
329-6562,138,0,170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,2,False,0.356432549047602,1,Low,Standard Upgrade Package,18.2,LOW,Regular Prospects (Standard Campaign)
363-3515,79,0,205.7,123,34.97,214.5,108,18.23,226.1,106,10.17,6.7,18,1.81,1,False,0.35847428938578163,1,Low,Standard Upgrade Package,23.7,LOW,Regular Prospects (Standard Campaign)
374-7787,95,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,True,0.755680165804792,1,High,Emergency Retention Package,74.18,HIGH,At-Risk VIPs (Save Immediately)
345-2931,127,0,221.0,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,2,False,0.3585844614540689,1,Low,Standard Upgrade Package,23.12,LOW,Regular Prospects (Standard Campaign)
373-5732,137,0,242.1,118,41.16,191.0,93,16.24,218.6,50,9.84,14.7,2,3.97,3,False,0.6082844235620416,1,High,Premium Support + Service Upgrade,52.84,HIGH,Problem Solvers (Fix Issues First)
348-7437,97,0,151.6,107,25.77,155.4,96,13.21,240.0,112,10.8,14.7,4,3.97,1,False,0.3566947084589701,1,Low,Standard Upgrade Package,19.39,LOW,Regular Prospects (Standard Campaign)
332-9460,149,0,176.2,87,29.95,145.0,81,12.33,249.5,92,11.23,5.7,4,1.54,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
355-6531,117,22,196.0,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1.0,1,False,0.3599910704120798,1,Low,Standard Upgrade Package,26.31,LOW,Regular Prospects (Standard Campaign)
336-9390,84,0,159.5,125,27.12,247.1,90,21.0,187.9,82,8.46,7.2,4,1.94,2,False,0.3573931566492221,1,Low,Standard Upgrade Package,21.17,LOW,Regular Prospects (Standard Campaign)
346-8581,137,0,230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,10.7,7,2.89,4,False,0.6081191305396331,1,High,Premium Support + Service Upgrade,51.88,HIGH,Problem Solvers (Fix Issues First)
363-8824,99,0,146.7,64,24.94,274.0,99,23.29,321.3,98,14.46,8.9,1,2.4,3,False,0.6073032374278703,1,High,Premium Support + Service Upgrade,48.13,HIGH,Problem Solvers (Fix Issues First)
353-3351,54,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,False,0.3574959912743089,1,Low,Standard Upgrade Package,22.16,LOW,Regular Prospects (Standard Campaign)
360-4320,85,0,102.0,95,17.34,270.2,139,22.97,148.2,105,6.67,10.7,3,2.89,1,False,0.3559367289273989,1,Low,Standard Upgrade Package,17.93,LOW,Regular Prospects (Standard Campaign)
417-6252,150,0,126.0,99,21.42,238.5,73,20.27,285.1,100,12.83,10.2,6,2.75,3,False,0.6065310217490771,1,High,Premium Support + Service Upgrade,42.23,HIGH,Problem Solvers (Fix Issues First)
393-4949,43,0,168.4,125,28.63,243.8,89,20.72,214.7,102,9.66,11.1,2,3.0,1,False,0.35764526309993555,1,Low,Standard Upgrade Package,22.46,LOW,Regular Prospects (Standard Campaign)
401-3156,35,0,105.6,129,17.95,258.2,129,21.95,213.1,77,9.59,8.7,3,2.35,0,False,0.7,1,Low,Starter Premium Features,29.32,MEDIUM,New Prospects (Gentle Approach)
338-6283,98,0,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,False,0.6070022765676583,1,High,Premium Support + Service Upgrade,47.21,HIGH,Problem Solvers (Fix Issues First)
352-9017,112,0,217.1,76,36.91,205.2,100,17.44,185.7,91,8.36,9.4,3,2.54,2,False,0.3587182762295777,1,Low,Standard Upgrade Package,23.75,LOW,Regular Prospects (Standard Campaign)
405-5305,16,0,229.6,78,39.03,205.7,108,17.48,166.2,91,7.48,10.8,2,2.92,0,True,0.7554369668347058,1,High,Emergency Retention Package,76.85,HIGH,At-Risk VIPs (Save Immediately)
376-9249,98,22,278.3,89,47.31,93.4,143,7.94,107.6,42,4.84,9.7,5,2.62,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
339-7139,84,0,138.6,102,23.56,199.0,93,16.92,204.1,137,9.18,7.8,4,2.11,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
