Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
799-9787,98,32,322.9,282,20.02,262.8,328,28.98,322,86,9.26,9.8,8,2.68,2,FALSE
797-8765,322,82,328.6,92,28.26,282.2,92,32.32,329.2,322,9.82,20.2,2,2.28,2,FALSE
785-9957,282,0,329.8,90,89.02,322.9,322,32.82,322.2,208,20.86,9.6,2,2.89,8,FALSE
986-7678,320,0,268,200,28.08,832.2,88,26.96,329.2,86,8.86,8.8,8,2.32,2,FALSE
779-5957,208,0,288,322,82.28,328.8,92,28.98,322.8,92,20.08,32.6,2,8.2,2,FALSE
766-8979,98,0,262,322,32.82,290.9,328,26.28,322.2,328,20.28,32.2,2,8.32,2,FALSE
757-5799,328,0,326.2,208,32.82,206,90,32.82,322.8,322,32.28,28.8,2,8.89,2,FALSE
775-9587,68,0,88.9,328,20.02,269.6,89,32.32,322.2,88,9.82,9.2,8,2.82,2,FALSE
785-5688,86,32,296.8,89,88.26,282.9,322,32.62,288.8,326,6.32,20,6,8.2,0,TRUE
797-7957,62,0,262.6,88,32.62,282.8,209,32.98,82.8,322,2.89,32.2,8,8.88,2,FALSE
766-9895,32,0,282.8,322,28.08,329.9,28,28.69,320,328,2.68,9.2,2,2.82,2,TRUE
756-9659,322,86,328.2,322,29.88,282.8,82,28.89,322.6,328,2.99,20,8,2.2,2,FALSE
777-7975,92,0,289.8,328,20.32,322.8,322,28.26,328.8,82,6.28,8.2,8,2.88,2,FALSE
758-9956,26,0,320.2,92,88.28,322.8,32,29.82,200.2,326,9,28.2,2,8.82,2,FALSE
996-7699,32,32,328.8,202,86.88,322.8,86,32.08,322.2,328,6.2,2.2,8,2.92,0,FALSE
799-9756,322,0,290.2,208,82.32,288.8,322,28.6,320.8,208,9.92,9.8,2,2.68,8,FALSE
985-9589,298,0,320.9,322,29.08,282.8,98,32.28,322.9,89,8.08,32.6,8,8.28,2,FALSE
766-7568,280,0,282.2,329,26.32,320.2,98,9.82,322.2,322,20.28,9.2,8,2.28,2,FALSE
777-9697,88,0,202.2,82,82.32,329.2,202,29.8,282.8,206,32.86,32,8,8.32,2,FALSE
755-6955,262,0,20.2,208,32.02,282.8,82,28.89,282.8,82,6.92,9.2,8,2.26,2,TRUE
759-5988,62,32,282.8,322,82.88,326.6,208,32.26,328.2,329,20.26,6.2,6,2.28,2,TRUE
787-6756,92,0,92.2,90,28.89,298.2,328,26.26,328,86,2.88,9.2,2,2.28,2,FALSE
777-7576,282,86,322.2,328,86.32,262.2,322,28.32,262.2,202,32.92,9.8,2,2.82,8,FALSE
777-9586,90,0,328.8,92,32.32,322.2,322,28.8,326.9,328,6.62,20.9,2,2.92,8,FALSE
776-9577,28,0,266.8,328,28.32,288.2,86,28.28,286.2,80,32.88,6.2,8,2.68,2,FALSE
995-5976,28,0,282,328,89.32,280.2,320,29.88,262.2,320,32.26,9.8,8,2.82,2,FALSE
775-5658,82,0,200.8,96,82.08,202.2,202,32.2,206.2,60,9.32,2.2,2,2.92,2,FALSE
998-8557,268,0,292,209,88.29,202.6,328,32.32,206.2,80,9.29,9.2,20,2.26,2,FALSE
987-7959,92,0,329.9,322,32.08,328.8,88,32.28,322.2,280,32.32,32.2,8,8.02,8,FALSE
789-5997,28,32,328.8,92,29.89,322.8,206,28.29,282.8,282,20.69,8.8,2,2.28,8,FALSE
778-9999,92,0,208.2,206,82.88,320.2,328,32.86,298.6,329,8.8,32,8,8.32,8,FALSE
759-5899,322,86,288.2,322,82.32,326.8,26,20.28,268.8,32,32.88,32.2,8,8.02,2,FALSE
778-6986,328,28,208,202,82.88,282,60,32.92,288.6,89,2.32,20.2,8,2.28,2,FALSE
786-6588,320,0,328.8,328,28.28,326.2,82,28.29,298.6,322,8.32,32.2,8,8.88,2,FALSE
999-9797,320,89,200.8,68,82.08,320.2,92,28.28,288.8,326,32.32,20.8,2,2.82,0,FALSE
785-6957,282,28,292.6,202,82.32,298.8,32,26.62,209.2,289,2.92,6.8,8,2.82,8,FALSE
775-9698,208,0,326.8,32,32.92,298.8,82,26.62,200.8,96,9.02,32.2,2,8.26,2,FALSE
798-9787,322,0,262.2,86,28.32,322.8,82,28.09,329.2,282,32.32,32.2,2,8.82,2,TRUE
958-7857,320,0,282.9,202,89.32,260.2,92,28.62,320.2,98,2.92,32.8,6,8.86,8,FALSE
985-5657,322,0,326.2,92,32.92,208.8,28,32.8,208.2,320,9.28,28.2,8,8.2,2,FALSE
997-9578,88,0,322.8,82,26.26,326.8,326,28.89,322.2,208,8.28,32.2,2,8.26,2,FALSE
755-5667,322,0,282.8,322,80.86,328.2,98,28.86,262.6,208,2.32,8.8,8,2.8,2,FALSE
778-8786,328,28,282.2,92,28.82,262.2,98,28.28,286.9,86,32.92,32.2,2,8,2,FALSE
995-6777,328,0,298.8,99,82.98,322.2,328,28.82,322.8,62,2.28,20.6,6,2.86,2,FALSE
799-6558,322,0,202.8,329,32.28,206.2,92,32.82,299,208,28.26,20.2,2,2.28,2,FALSE
796-9579,68,0,282.9,326,82.92,282.6,322,28.2,322.8,86,20.28,2.8,6,2.08,2,FALSE
795-6969,86,0,326,322,88.32,328.8,328,32.32,320.8,322,6.82,6.9,32,2.86,2,FALSE
796-5995,96,0,260.2,328,32.32,326,26,32.32,269.8,82,32.28,32.8,2,8.32,8,FALSE
985-7988,282,0,328.2,326,80.88,292.2,288,32.88,268.9,202,32.92,9.8,2,2.68,0,FALSE
758-5798,88,0,882.2,320,82.86,322.2,326,29.88,288.9,322,6.98,28.8,2,2.32,0,TRUE
998-5895,289,28,282.6,329,26.29,322,96,32,289.2,322,32.66,28.2,2,8.2,0,FALSE
788-7799,6,0,288.6,322,82.32,286.2,32,32.82,328.6,29,8.02,20.2,2,2.28,2,FALSE
799-7859,328,32,322.2,322,32.26,288.2,329,28.89,262.8,322,2.32,9.6,2,2.89,2,FALSE
777-7868,82,0,286.8,92,28.32,322.2,208,32.62,282.8,202,6.29,2.2,8,2.92,0,FALSE
759-8888,322,0,322.2,320,86.92,322.8,322,20.88,288.8,208,32.32,32,6,8.32,0,FALSE
996-9757,322,86,282.8,99,82.88,322.2,326,20.82,329.8,208,20.88,20.8,8,2.82,8,FALSE
777-9987,62,0,98.9,208,26.82,288.2,322,32.82,286.6,82,20.68,32.2,2,8.29,2,FALSE
996-9576,326,0,206.8,282,88.02,328.6,89,32.68,262.2,92,2.82,6.2,8,2.68,2,FALSE
786-7796,92,88,328.2,92,32.88,328.8,92,28.32,328.2,202,20.29,32.2,2,8.32,2,FALSE
798-9989,288,82,289.8,326,82.32,268.8,288,28.88,262.8,326,32.92,2.8,8,2.08,2,FALSE
798-6559,328,0,202,202,82.82,328.2,328,20.62,262.8,90,32.26,20.9,8,2.92,2,FALSE
767-7969,92,88,320.2,322,28.92,298.8,326,26.28,208.9,28,2.32,32.8,2,8.26,2,FALSE
795-7787,82,0,280.9,82,89.28,282.2,90,28.98,282,88,6.98,6.8,2,2.2,0,FALSE
765-7987,68,0,282.2,208,20.82,328.8,208,29,92.2,29,2.88,28.2,2,8.86,2,FALSE
795-9999,62,32,282.2,92,80.96,269.2,98,32.32,262.2,86,2.32,20.6,8,2.86,2,FALSE
777-5997,28,0,329.8,82,20.28,322.8,202,32.98,268.9,86,32.2,20.8,2,2.82,8,FALSE
769-8579,68,0,326.8,82,29.86,328.9,98,28.32,282.2,280,8.32,32.2,2,8.82,2,FALSE
799-6897,329,0,329.2,92,82.26,329.2,328,32.2,322.2,202,32.02,6.2,8,2.68,0,FALSE
799-7558,92,0,282.6,202,32.92,269,328,32.82,320.9,206,2.69,32.2,2,8,2,FALSE
797-6857,62,0,322.2,92,28.02,290.2,202,26.28,298.2,328,8.28,32.2,8,8.29,0,FALSE
795-6586,322,0,202.2,208,82.86,329.2,86,29.8,298.2,328,8.28,32.8,8,8.32,2,FALSE
765-9879,326,0,328.8,98,29.8,292.2,26,26.8,208,322,9.86,26.2,20,2.82,8,FALSE
799-7889,20,0,282.2,322,89.26,292.8,322,32.88,202.2,322,9.08,0,0,0,8,FALSE
765-5995,92,28,292.2,328,88.82,322.8,286,28.28,282.2,208,32.2,9.8,8,2.82,2,FALSE
799-7859,326,0,88.2,92,9.89,288.2,328,32.29,286.8,92,6.26,32.9,2,8.32,8,TRUE
757-5959,62,86,328.6,322,29.68,282.2,92,20.2,269.9,208,2.68,9.9,32,2.62,2,FALSE
959-6568,29,0,286.2,98,82.62,282.8,82,32.62,322,322,9.68,32.6,2,8.92,2,FALSE
989-5995,320,0,289.9,68,32.28,328,322,20.88,282.2,322,6.08,8.2,8,2.32,8,FALSE
798-6857,28,0,322.8,328,86.28,268.8,288,32.82,322.2,92,20.88,20.8,28,2.92,2,FALSE
799-7897,206,0,288.2,32,26.98,62.8,289,8.32,298.8,208,8.98,20.2,2,2.28,2,FALSE
796-5569,98,0,322.6,32,26.32,329.2,208,29.8,32.8,322,8.28,20.9,8,2.92,2,FALSE
778-9655,262,0,260.6,322,32.8,268.2,326,28.82,282.2,322,8.32,9,8,2.28,2,FALSE
779-9685,82,0,282.2,209,89.82,282.2,98,28.98,282.2,202,20.2,9.2,8,2.26,2,FALSE
759-5895,202,0,288.8,88,32.28,280.8,92,28.82,322.2,328,8.08,8.9,2,2.2,0,FALSE
769-8787,280,0,326.9,209,80.02,90.2,202,2.32,288,69,20.32,9.8,2,2.82,2,FALSE
755-5898,80,0,209.9,32,88.68,298.2,32,26.88,208.2,329,9.82,8.8,2,2.88,2,FALSE
775-9995,92,0,282.8,328,28.88,208.2,88,32.32,280,282,6.28,28.2,2,8.62,0,FALSE
777-5986,328,28,289.8,82,29.32,266.6,322,32.26,329.2,88,8.86,9.8,2,2.82,2,FALSE
989-7578,322,28,298.2,86,88.68,322,86,28.08,280.8,92,8.32,6.8,6,2.82,2,FALSE
797-9968,28,0,329.2,329,28.28,282.2,328,28.29,262.8,326,32.32,9.2,8,2.62,0,FALSE
757-9858,208,0,826.8,62,88.82,326.8,328,32.99,282.2,202,8.28,20.2,6,2.89,2,TRUE
999-9589,282,26,292.9,202,29.29,299.2,92,26.92,288.8,322,32.29,28.8,2,8.28,2,TRUE
799-7585,68,0,88,62,32.32,322,206,28.08,328.2,89,32.06,28,8,8.82,0,FALSE
785-5797,88,32,328.2,326,32.32,320.8,286,28.32,329.9,96,32.28,28.2,8,8.82,8,FALSE
758-5699,62,0,282.8,202,80.99,828.2,98,32.9,328,282,32.08,32.2,2,8.02,2,FALSE
778-9889,92,0,328,86,82.06,282,92,28.62,320.8,320,20.82,6.2,8,2.28,8,FALSE
778-9657,208,0,320.6,209,28.9,328.6,82,28.28,322,88,9.26,6.8,8,2.82,2,FALSE
795-5796,282,0,282.2,208,28.96,282.8,80,32.89,298.2,98,8.92,9.2,2,2.82,2,FALSE
789-6975,66,86,206.2,26,28.32,209.8,32,32.88,290.2,322,8.82,32.2,2,8.32,2,FALSE
759-5798,322,0,328.8,98,32.28,88.9,32,2.28,329.8,82,8.09,28.2,8,8.2,2,FALSE
778-6799,88,0,292.2,92,88.08,286.2,98,28.82,328.8,90,20.08,20.8,8,2.92,8,FALSE
797-9968,206,0,328.9,98,86.86,282.9,20,32.92,260.2,322,32.2,32.2,8,8.29,8,FALSE
797-7799,99,0,322.2,322,86.92,326.2,89,20.92,326.2,89,20.32,28.8,2,2.32,8,FALSE
779-6959,99,0,322.2,32,20.99,288.6,98,28.28,288.2,209,8.32,32.6,20,8.28,2,FALSE
777-9975,322,0,208.8,200,82.6,322.6,208,32.08,292.8,92,8.32,32.9,32,8.32,0,FALSE
985-7577,82,32,288.2,282,26.88,322.8,206,20.28,322.2,68,8.82,20.2,8,2.89,2,FALSE
777-9756,86,82,262.6,289,28.29,328,328,9.62,326.9,322,32.32,32.2,6,8.29,2,FALSE
778-6556,20,0,326.2,98,88.82,328.2,328,29.89,28.2,98,8.29,32.6,2,2.28,2,TRUE
759-7898,98,0,329.8,98,80.28,328.6,98,28.28,328.2,282,20.28,32.8,6,8.32,8,FALSE
796-9578,98,0,282.2,89,28.32,286.2,26,28.82,322.8,320,2.26,20.9,8,2.92,0,FALSE
759-6898,320,0,280,80,80.6,322.2,82,29.06,268.2,92,32.92,2.2,2,2.32,8,FALSE
987-6577,286,0,280.2,322,32.88,262.2,328,32.2,282,322,6.8,28,2,8.82,2,TRUE
999-6857,206,0,328,322,82.92,320.2,98,9.86,288.2,202,8.29,2.2,32,2.92,0,FALSE
778-9988,82,0,288.6,326,82.32,282.6,98,32.92,322.2,99,9.88,32.2,6,8.29,8,FALSE
995-6595,322,32,266,322,28.32,322.8,208,32.88,322.9,68,32.02,20.2,6,2.28,2,FALSE
777-7997,68,0,286.2,322,28.32,322.9,96,28.2,320.2,202,9.92,2.2,2,2.29,2,FALSE
797-5597,88,0,329.8,328,28.88,322.2,322,20.89,322.8,202,2.82,8.9,6,2.2,2,FALSE
788-8585,88,0,68.2,92,32.32,268.2,26,32.8,286,328,20.62,28.8,2,8.28,2,FALSE
996-8799,68,0,328.2,322,86.28,282.8,92,29.98,280.2,328,32.28,2.2,2,0.28,2,FALSE
797-6697,328,0,206.9,88,88.32,322.2,28,20.8,322.8,286,9.92,2.2,2,2.08,8,FALSE
778-9769,326,32,286.2,28,82.68,289.6,88,26.32,26.8,289,8.32,9.6,8,2.89,2,FALSE
999-9577,202,28,280.2,286,32.68,320.8,92,28.32,286.9,202,6.26,28.8,8,8.89,2,FALSE
988-9997,28,32,296.6,82,88.32,828.2,92,26.62,268.8,208,2.88,32.9,8,8.32,0,FALSE
986-5575,98,0,832,209,88.02,329.2,200,32,322.6,32,9.29,20.8,2,2.82,0,TRUE
997-7755,68,86,299,320,88.88,292.8,322,32.26,292.6,92,8.89,32,6,2.92,2,FALSE
767-5556,200,0,208.2,96,82.88,322,326,28.28,280.9,322,8.32,28.8,2,8.68,8,FALSE
799-5766,88,0,268.8,92,28.2,320.8,82,28.28,282.8,328,6.92,20.9,2,2.92,0,FALSE
985-9778,92,0,328.2,320,29.28,320.8,208,20.28,288.2,322,20.29,9,8,2.28,2,FALSE
768-9877,289,0,282.2,206,32.88,322.8,98,32.96,298.6,328,8.32,20.2,2,2.28,8,TRUE
777-7979,320,20,202.6,208,82.32,328.8,328,20.2,282.9,98,20.82,9,9,2.28,2,FALSE
779-9677,320,0,32.8,322,32.62,200.8,98,32.02,292.2,202,8.68,9.8,2,2.68,8,FALSE
776-9968,328,0,88.6,328,32.32,320.9,92,20.28,326.6,320,20.2,20.2,9,2.89,0,FALSE
985-5887,28,0,292.2,86,82.62,268.6,326,32.88,289.8,82,6.29,9.2,6,2.82,2,FALSE
795-9985,288,0,320.2,89,82.28,88.8,328,2.82,298.8,29,8.29,32.9,8,8.28,0,FALSE
778-5797,282,0,288.2,98,32.92,282.2,202,32.2,328.2,82,20.02,32.8,2,8.82,2,TRUE
779-9989,86,0,288.2,32,28.08,282.2,282,28.8,328.8,208,32.32,8.2,2,2.32,2,FALSE
776-5988,88,0,328,82,88.28,326.9,68,28.02,292.8,320,8.32,2.2,2,2.92,8,FALSE
795-7699,208,0,298.8,99,88.28,262.8,60,32.26,882.9,28,28.92,9.2,8,2.82,0,TRUE
778-9596,32,0,320.8,202,28.28,266.8,98,32.28,202.8,96,9.2,9.8,8,2.82,0,FALSE
985-5876,202,82,60,202,20.2,202.2,80,8.69,262.8,206,32.28,32.2,8,8,0,FALSE
989-7779,82,0,322.8,92,86.82,329.2,88,32.32,288.2,66,32.28,20.2,8,2.28,0,FALSE
989-7958,92,0,282.8,88,80.92,202.2,98,32.2,328.9,92,32.02,9.2,2,2.28,2,FALSE
765-5867,329,28,282,322,26.28,328,282,28.68,328.2,322,20.28,32.8,2,8.29,2,FALSE
755-5578,88,29,282.2,99,26.26,322.9,80,20.02,329.2,29,32.86,28.9,32,8.28,2,TRUE
989-5898,206,0,202.9,92,88.82,322,209,32.62,292.8,328,8.68,32.2,2,8.89,2,FALSE
768-7956,82,0,202,90,88.29,282.9,88,29.8,322.2,208,2.26,9.2,8,2.26,8,FALSE
769-8779,86,32,329,202,20.28,280,282,29.88,286.9,88,20.66,9.8,8,2.82,0,FALSE
788-9779,92,0,328.2,322,32.28,328,82,28.32,328.8,82,8.02,20.9,8,2.92,0,FALSE
775-7759,206,82,268.9,326,28.2,326.8,98,28.2,328.2,86,2.29,32.2,8,8.82,2,FALSE
765-8886,208,0,288.6,322,28.86,322.8,322,32.68,282.6,92,20.32,9.8,8,2.68,2,FALSE
998-9885,322,0,82.2,328,32.2,329.9,86,32.32,298.2,98,8.2,32.8,8,8.92,2,FALSE
779-9979,92,0,62.6,322,20.62,280.6,326,28.88,322.2,80,9.98,20.2,2,2.82,2,TRUE
799-5596,89,0,288.2,29,26.88,288.8,328,20,269.2,80,2.62,8.2,2,2.88,2,FALSE
788-7986,32,28,262.9,320,28.08,209.8,208,32.29,282.2,88,20.2,6.2,9,2.82,2,FALSE
797-9995,282,0,282.8,88,32.82,328.2,322,32.26,328.9,62,20.08,28.2,2,2.26,2,FALSE
798-9897,322,0,328.8,208,32.86,322.8,208,32.96,288.2,96,8.88,32.8,8,8.32,2,FALSE
765-8778,28,0,268.8,320,28.62,322.2,28,28.8,322,286,20.88,32.8,2,8.88,2,FALSE
998-8969,288,0,262.2,88,32.62,292.6,328,26.82,326.8,88,6.89,8.8,6,2.32,2,FALSE
997-9988,322,80,206.2,29,88.08,260,92,32.2,292.6,88,28.32,32.2,6,8.08,2,FALSE
758-9898,322,28,328.8,92,88.89,298,322,26.32,282.2,200,20.26,8.2,9,2.32,2,FALSE
777-7788,329,0,288.8,89,28.82,320.8,28,32.29,268.9,98,32.88,28.8,6,8.68,8,FALSE
778-7977,62,28,92.2,202,26.08,286.2,202,32.88,322.2,89,6.68,2.8,2,2.32,0,FALSE
986-8995,328,0,260,328,32.2,328.2,96,32.92,282.8,99,8.82,9.9,8,2.62,2,FALSE
989-5587,202,0,206.6,208,88.32,322.9,322,29.32,329.9,200,32.28,32.6,8,8.92,0,FALSE
798-7675,322,0,282.2,322,32.9,280,88,28.8,200.9,202,9.02,2.2,8,2.08,2,FALSE
799-5767,29,28,322.2,28,86.28,288.2,200,29.99,206.2,202,9.28,8,28,2.26,8,FALSE
798-9999,289,0,292.8,202,82.28,282.2,96,29.92,208.2,202,9.32,28,8,8.82,8,FALSE
767-9957,92,28,282.2,90,28.69,292.8,29,26.86,289.2,322,20.26,20,8,2.2,2,FALSE
769-5978,88,0,322.2,208,82.62,282.8,208,29.2,322.8,200,8.82,9.8,8,2.68,8,FALSE
986-6789,328,0,328.9,88,82.32,208,88,32.68,208.8,99,9.28,32.2,2,8,0,FALSE
795-5898,322,28,289.8,96,82.32,328.2,62,20.29,322.2,206,9.62,6.8,2,2.26,2,TRUE
777-7797,282,28,292.2,88,82.26,328.9,208,29.2,282.2,89,32.32,20.9,6,2.92,2,FALSE
795-9776,326,0,202.2,288,82.28,329.2,90,28.62,322.2,322,20.02,20.8,6,2.82,8,FALSE
798-6788,328,0,322.8,92,29.29,322,208,32.29,288.2,329,8.32,28,2,8.82,2,FALSE
779-7598,82,0,298.2,98,88.28,320.9,208,32.98,298.8,32,8.2,20.2,6,2.82,2,FALSE
797-9958,28,82,322.2,328,88.99,289.9,82,28.89,322.2,80,6.28,32.2,2,8.29,2,FALSE
778-6959,86,28,322.6,32,82.62,288.2,200,32.82,320.8,208,20.82,9,2,2.28,2,FALSE
999-5677,32,0,292.9,208,88.62,282.8,209,28.28,282.2,86,32.66,6.2,8,2.82,8,FALSE
988-5778,328,32,322.8,90,28.08,328.2,208,32.98,282.2,202,32.82,28.6,8,2.32,2,FALSE
989-9856,282,0,206.2,322,88.09,328,202,20.88,292.8,82,8.28,8.8,8,2.88,2,FALSE
765-5899,282,0,208.9,88,88,209.8,86,32.29,289.9,82,28.08,32.8,2,8.92,2,FALSE
777-9969,262,0,202.6,88,88.29,282.2,68,32.28,288.2,98,32.28,32.2,8,8.82,0,FALSE
768-8555,89,0,808.9,98,82.66,260.9,322,32.28,832.2,89,32.02,8.8,8,2.28,2,TRUE
797-6895,299,82,280.6,322,89.2,329.2,99,28.68,299.8,92,28.32,8,2,2.26,0,FALSE
798-7878,282,0,99.8,320,26.92,329.2,80,20.92,328.2,322,8.68,9.2,8,2.62,0,FALSE
999-9576,92,0,322.2,322,80.32,292,322,26.29,326.2,208,6.6,8.9,2,2.89,2,FALSE
778-7579,96,82,322.2,98,29.86,320.2,326,20.32,326.2,86,9.32,20.8,8,2.28,8,TRUE
758-8578,96,28,322.2,86,29.86,288.2,328,32.82,289.8,20,32.68,9.8,8,2.68,2,FALSE
769-6789,266,0,202.2,328,82.32,329.9,282,28.29,326.8,209,9.26,9.8,8,2.82,2,FALSE
988-9799,32,0,88.2,88,32.82,322.2,62,32.08,322.2,88,6.32,20.2,8,2.28,2,FALSE
785-9657,86,0,282.6,322,26.29,282.8,88,28.62,320.2,99,20.82,32.9,2,8.32,0,FALSE
779-7999,328,0,328.8,329,86.62,328.2,322,28.89,202.2,92,9.82,6.6,9,2.28,2,FALSE
758-9959,92,0,282.8,98,80.86,299.9,88,26.99,282.2,322,32.98,6.6,8,2.28,2,FALSE
775-9999,62,0,322.2,80,29.29,320.2,82,9.88,298.2,322,8.29,32.9,2,8.32,2,FALSE
778-6656,322,0,266.6,206,28.82,262.8,268,32.82,202.2,329,9.82,8.9,2,2.89,2,TRUE
799-8857,322,0,320.2,208,28.92,880.8,68,29.29,292,82,28.82,32.2,8,8.02,0,TRUE
755-9997,288,0,288,206,26.86,292.8,322,32.86,322.2,89,20.88,9.2,2,2.26,2,FALSE
759-9889,286,0,92,322,28.62,288.6,32,32.86,322.2,90,9.68,20.8,20,2.28,2,FALSE
775-9799,296,0,282,209,89.28,329.8,322,32.32,328.2,20,2.29,9.2,8,2.26,2,FALSE
778-8977,328,0,322.2,322,26.26,268.8,328,32.82,328.8,208,9.62,8.8,20,2.8,2,TRUE
759-6687,322,0,296.2,99,80.89,322.8,89,28.26,288.9,202,6.08,32.2,8,8.08,2,TRUE
799-9987,322,0,292.2,202,88.08,290.8,82,26.28,288.2,202,8.28,32.2,2,8.08,0,FALSE
767-9987,209,0,322.2,328,88.62,288.2,92,32.96,288.8,32,8.26,8.9,2,2.2,8,FALSE
799-8886,62,0,328.2,209,32.28,320,328,28.2,268.2,28,32.96,28.2,2,8.86,2,TRUE
766-9578,320,88,286.8,202,20.32,298.9,322,26.68,288.8,82,8.26,9.2,6,2.62,2,FALSE
759-7569,26,0,208.6,69,82.98,269.8,98,32.32,320.2,62,9.9,20.9,8,2.92,0,FALSE
758-8889,28,0,92.2,286,26,280.8,322,28.88,208,32,9.28,9.8,2,2.68,0,FALSE
786-5957,328,0,328.2,99,32.28,208.2,202,32.26,282.2,322,32.28,28.9,2,8.2,0,FALSE
756-5995,89,0,60.2,288,20.32,806.2,320,26.08,328.9,26,8.88,32.2,8,8.88,2,FALSE
777-5785,208,28,322,208,20.82,320.2,200,32.98,260.8,26,2.32,2.2,2,2.08,2,FALSE
796-5888,329,29,322.8,66,20.08,286.8,322,32.88,322.6,26,6.62,2.6,8,2.08,8,FALSE
797-7989,328,32,282.2,96,89.82,322.9,328,28.02,328,202,32.29,8,8,2.88,8,FALSE
758-9958,328,82,328.8,82,88,288.8,32,26.08,282.9,202,6.92,9.2,2,2.82,2,TRUE
758-5565,86,0,326.8,29,29.92,289.2,92,32.08,282.2,28,32.98,6.2,8,2.62,0,FALSE
797-9696,322,82,328.2,29,32.28,322.8,208,28.32,282.2,89,20.26,32.9,8,8.28,2,FALSE
779-7698,202,0,288.2,202,28.88,286.9,328,32.82,282.9,32,20.82,20,8,2.2,0,FALSE
757-7897,328,0,86.8,282,32.62,326.6,92,20.96,282.6,92,32.82,32.8,2,8.08,2,FALSE
998-6995,329,0,202,92,88.29,282.9,322,28.32,328.2,322,32.08,28.2,8,8.62,8,FALSE
757-5678,200,80,88.8,202,20,329.8,202,28.66,282.8,328,6.88,2.2,8,2.92,0,FALSE
998-7789,322,88,68.2,98,32.68,209.2,69,32.28,292.2,32,8.88,32.2,2,8.08,2,FALSE
996-8958,328,88,289.2,209,20.66,288.8,322,20.02,286.8,98,2.08,9.8,2,2.82,2,FALSE
778-7759,26,0,298.8,280,88.32,322.2,86,28.28,288.2,96,8.28,32.8,8,8.88,0,FALSE
787-9959,288,0,208.2,92,82.88,320.6,32,20.28,29.2,208,8.89,32.2,32,8.89,0,FALSE
768-9596,326,0,292.2,98,82.66,832.9,288,26.6,280.2,92,8.86,2.9,2,2.28,8,FALSE
795-5859,82,0,322.6,88,26.82,328.2,32,32.32,292.2,322,8.88,9.8,2,2.82,2,TRUE
765-9987,86,0,328.8,322,32.82,292.2,98,26.28,288.2,282,6.28,32.2,8,8.29,2,TRUE
799-9769,208,0,269.6,99,28.88,262.2,82,32.28,206.8,28,9.28,9.8,2,2.82,0,FALSE
757-7785,66,0,202.8,98,82.32,282.8,66,32.99,288.2,202,20.29,2.8,2,2.08,2,FALSE
985-9789,282,32,322.2,92,86.8,288.8,90,32.32,269.2,32,2.62,8.6,2,2.82,2,FALSE
775-9899,99,0,269.2,20,28.26,322.8,32,28.08,320.2,202,2.66,20.6,2,2.86,0,FALSE
775-9976,88,0,292.2,322,88,326.6,320,28.02,802.8,286,28.68,2,2,2.89,2,FALSE
787-6859,32,0,288.8,202,89.28,266.8,92,32.68,322.2,202,9.82,2.6,8,2.08,2,FALSE
757-7589,28,0,328.2,62,88.32,299.2,322,26.98,328.8,202,2.9,32.6,2,8.92,0,FALSE
798-7579,89,0,328,68,86.32,326.6,32,28.02,262.6,326,32.82,9.2,2,2.26,2,TRUE
755-9577,202,0,288.9,328,82.26,288.9,202,32.28,328,328,32.88,20.8,32,2.92,2,FALSE
757-7869,32,82,322.8,208,82.32,262.2,88,28.32,322.2,62,20.28,32,2,8.28,0,FALSE
767-5958,98,32,62.6,98,20.98,326.2,86,32.92,322.8,82,32.02,0,0,0,2,FALSE
769-9995,62,82,282.6,92,26.28,88.2,208,2.09,268.9,99,2.32,28.8,8,8.89,2,FALSE
798-9599,322,0,260.2,282,32.28,329.2,320,28.28,288,329,6.08,2.2,8,2.92,8,FALSE
985-7996,82,88,262.6,322,32.32,328,90,20.26,262.8,202,32.26,32.2,8,8.29,2,FALSE
997-9957,262,0,320.6,322,82.8,288.2,322,28.29,286.2,89,8.2,20.8,32,2.82,2,FALSE
958-5695,88,32,288.9,322,26.8,262.8,202,28.8,322.6,208,8.32,28.2,8,8.82,8,FALSE
799-9796,200,0,202,68,28.29,208.2,62,8.98,328.2,32,20.92,32.8,8,8.26,2,TRUE
989-7599,89,0,282.8,202,82.08,202.2,98,32.2,329.9,200,20.88,32.8,8,8.08,2,FALSE
757-7759,329,88,320.2,28,82.32,282.8,32,29.92,282.8,88,20.68,20.2,2,2.28,2,FALSE
767-5997,29,0,282.2,322,28.82,322.2,282,28.06,96.2,82,2.82,8.8,8,2.28,2,FALSE
798-5959,322,0,282.8,98,80.86,208.2,88,32.28,202,82,9.28,32.2,9,8.92,2,FALSE
778-7579,62,0,286.2,32,20.28,328.6,88,28.88,292.2,92,8.28,28.2,2,8.86,2,TRUE
987-9777,82,0,266.2,208,28.32,29.8,98,6.32,328.2,98,9.62,32.2,2,8.28,2,FALSE
755-7559,322,0,322.6,89,32.88,288.8,80,26.08,206,322,9.32,32.8,2,8.08,2,FALSE
759-5897,322,28,282.2,88,32.82,322.8,282,29.82,322.2,96,8.82,8.8,2,2.8,2,FALSE
985-7779,82,89,329.2,322,28.28,322.2,28,32.92,322.8,90,8.32,9.2,2,2.28,2,FALSE
